token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO026	0	0	0	e:h	eh	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	Begin=6.57	0x1	_	_	_
0-1	BO026	0	0	1	mh,	mh	_	_	_	_	_	linguistic	_	none	Intonation=weakly_rising	End=7.55	_	_	_	_
1-0	BO026	1	1	0	'spetti	'spetti	_	_	_	_	_	linguistic	_	none	Truncated=Yes	Begin=7.675	_	_	_	_
1-1	BO026	1	1	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	BO026	1	1	2	preparo:,	preparo	_	_	_	_	_	linguistic	_	none	Intonation=weakly_rising	End=9.03	6x1	_	_	_
2-0	BO026	2	2	0	°il	il	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=10.861	_	_	_	_
2-1	BO026	2	2	1	file,°	file	_	_	_	_	_	linguistic	_	none	Intonation=weakly_rising|Volume=low	End=11.813	_	_	_	_
3-0	BO026	3	3	0	mi	mi	_	_	_	_	_	linguistic	_	none	_	Begin=13.006	_	_	_	_
3-1	BO026	3	3	1	ricorda	ricorda	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	BO026	3	3	2	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	BO026	3	3	3	suo	suo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	BO026	3	3	4	nome,	nome	_	_	_	_	_	linguistic	_	none	Intonation=weakly_rising	End=14.39	_	_	_	_
4-0	BO020	4	4	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=14.39	_	_	_	_
4-1	BO020	4	4	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	BO020	4	4	2	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	BO020	4	4	3	chiamo	chiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	BO020	4	4	4	rossi	rossi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	BO020	4	4	5	anna	anna	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	BO020	4	4	6	giulia	giulia	_	_	_	_	_	linguistic	_	none	_	End=16.86	_	_	_	_
5-0	BO020	5	5	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=17.655	0x1	_	_	_
5-1	BO020	5	5	1	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	BO020	5	5	2	realtà	realtà	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	BO020	5	5	3	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	BO020	5	5	4	vorrei	vorrei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	BO020	5	5	5	un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
5-6	BO020	5	5	6	informazione	informazione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	BO020	5	5	7	sulla:	sulla	_	_	_	_	_	linguistic	_	none	_	_	4x1	_	_	_
